Symbol: Au
Lattice_type: HexagonalClosedPacked
calculator: <asap.RGL object at 0x0x553ca0>
size: (28, 28, 28)
directions: []
miller: []
Lattice Constant Parameters: ['a', 'c']

Lattice Constant Results: 

Lattice constant (a,c)/Ang: Energy/eV
----------------------------------------------
(3.1, 3.6): -3.1185230831544537
(3.1, 3.7): -3.3179779064082933
(3.1, 3.8): -3.4718444439421052
(3.1, 3.9): -3.5863274258161537
(3.1, 4.0): -3.6670272752358133
(3.1, 4.1): -3.7189931435401204
(3.1, 4.2): -3.7467644782160643
(3.1, 4.3): -3.7544059686771583
(3.1, 4.4): -3.7455388018352447
(3.1, 4.5): -3.723369928898906
(3.1, 4.6): -3.6907202705506883
(3.1, 4.7): -3.650052314604736
(3.1, 4.8): -3.6034972820124005
(3.1, 4.9): -3.552881881401084
(3.1, 5.0): -3.4997545903727194
(3.1, 5.1): -3.445411361731955
(3.1, 5.2): -3.3909206346440093
(3.1, 5.3): -3.337147522895612
(3.1, 5.4): -3.284777049363539
(3.1, 5.5): -3.234336295795451
(3.1, 5.6): -3.186215340444407
(3.1, 5.7): -3.1406868643900676
(3.1, 5.8): -3.0979243217140033
(3.1, 5.9): -3.058018589486016
(3.1, 6.0): -3.0209930402052003
(3.2, 3.0): -1.3905000099952078
(3.2, 3.1): -1.8949258063020622
(3.2, 3.2): -2.3143889026653772
(3.2, 3.3): -2.6603951049838233
(3.2, 3.4): -2.9424973619288735
(3.2, 3.5): -3.16884285865949
(3.2, 3.6): -3.346531145096771
(3.2, 3.7): -3.481847987291254
(3.2, 3.8): -3.5804183572696626
(3.2, 3.9): -3.6473075043787535
(3.2, 4.0): -3.6870892358514897
(3.2, 4.1): -3.7038939058162046
(3.2, 4.2): -3.7014441612263878
(3.2, 4.3): -3.6830835282403136
(3.2, 4.4): -3.6518009683956247
(3.2, 4.5): -3.610253264378834
(3.2, 4.6): -3.560786286563084
(3.2, 4.7): -3.5054556899243847
(3.2, 4.8): -3.4460472910575803
(3.2, 4.9): -3.3840972043399087
(3.2, 5.0): -3.3209117257453498
(3.2, 5.1): -3.2575869089593303
(3.2, 5.2): -3.195027759713209
(3.2, 5.3): -3.133966966787521
(3.2, 5.4): -3.0749830845050603
(3.2, 5.5): -3.018518077995622
(3.2, 5.6): -2.9648941388804824
(3.2, 5.7): -2.9143296760668886
(3.2, 5.8): -2.8669543863970484
(3.2, 5.9): -2.8228233143883186
(3.2, 6.0): -2.7819298207869054
(3.3, 3.0): -2.0656886989550713
(3.3, 3.1): -2.4484786935072216
(3.3, 3.2): -2.761274192136813
(3.3, 3.3): -3.0140852923796584
(3.3, 3.4): -3.215055338140091
(3.3, 3.5): -3.371012993976069
(3.3, 3.6): -3.487833260289295
(3.3, 3.7): -3.570672397942569
(3.3, 3.8): -3.624120443747247
(3.3, 3.9): -3.652300515044065
(3.3, 4.0): -3.6589342734923154
(3.3, 4.1): -3.647386272503922
(3.3, 4.2): -3.620695440199908
(3.3, 4.3): -3.5815989595895528
(3.3, 4.4): -3.5325518261299265
(3.3, 4.5): -3.475744065704782
(3.3, 4.6): -3.413116761337928
(3.3, 4.7): -3.346377512080974
(3.3, 4.8): -3.277015628404831
(3.3, 4.9): -3.2063171833868385
(3.3, 5.0): -3.135379939038971
(3.3, 5.1): -3.0651281188883166
(3.3, 5.2): -2.996326978751256
(3.3, 5.3): -2.9295971226927113
(3.3, 5.4): -2.8654285110680986
(3.3, 5.5): -2.804194107160814
(3.3, 5.6): -2.7461631060544014
(3.3, 5.7): -2.6915136841271816
(3.3, 5.8): -2.6403452012045268
(3.3, 5.9): -2.592689782196563
(3.3, 6.0): -2.5485232030003018
(3.4, 3.0): -2.576800188624216
(3.4, 3.1): -2.859838944409631
(3.4, 3.2): -3.0852354131312687
(3.4, 3.3): -3.2617745894708188
(3.4, 3.4): -3.396445245278104
(3.4, 3.5): -3.49499532064744
(3.4, 3.6): -3.562294768509169
