Symbol: Au
Lattice_type: HexagonalClosedPacked
calculator: <asap.RGL object at 0x0x553070>
size: (28, 28, 28)
directions: []
miller: []
Lattice Constant Parameters: ['a', 'c']

Lattice Constant Results: 

Lattice constant (a,c)/Ang: Energy/eV
----------------------------------------------
(2.802, 4.647): -3.7843880813960027
(2.802, 4.648): -3.7846563246011997
(2.802, 4.649): -3.7849229834830083
(2.802, 4.65): -3.785188061585391
(2.802, 4.651): -3.7854515624449103
(2.802, 4.652): -3.7857134895960916
(2.802, 4.653): -3.785973846563095
(2.802, 4.654): -3.7862326368697325
(2.802, 4.655): -3.7864898640300733
(2.802, 4.656): -3.786745531556572
(2.802, 4.657): -3.786999642951373
(2.802, 4.658): -3.787252201717692
(2.802, 4.659): -3.7875032113448834
(2.802, 4.66): -3.7877526753262374
(2.802, 4.661): -3.7880005971390003
(2.802, 4.662): -3.788246980265059
(2.802, 4.663): -3.788491828175647
(2.802, 4.664): -3.788735144335078
(2.802, 4.665): -3.7889769322058857
(2.802, 4.666): -3.789217195241453
(2.802, 4.667): -3.78945593689441
(2.802, 4.668): -3.7896931606084334
(2.802, 4.669): -3.7899288698223237
(2.802, 4.67): -3.7901630679698064
(2.802, 4.671): -3.7903957584785153
(2.802, 4.672): -3.7906269447708785
(2.802, 4.673): -3.790856630265478
(2.802, 4.674): -3.7910848183746566
(2.802, 4.675): -3.791311512504081
(2.802, 4.676): -3.7915367160530846
(2.802, 4.677): -3.7917604324196867
(2.802, 4.678): -3.7919826649935673
(2.802, 4.679): -3.79220341715918
(2.802, 4.68): -3.792422692296421
(2.802, 4.681): -3.7926404937796736
(2.802, 4.682): -3.792856824976664
(2.802, 4.683): -3.7930716892513847
(2.802, 4.684): -3.79328508996183
(2.802, 4.685): -3.7934970304605007
(2.802, 4.686): -3.793707514094557
(2.802, 4.687): -3.7939165442074616
(2.802, 4.688): -3.794124124132976
(2.802, 4.689): -3.7943302572047846
(2.802, 4.69): -3.79453494674817
(2.802, 4.691): -3.794738196083781
(2.802, 4.692): -3.7949400085265177
(2.802, 4.693): -3.7951403873858105
(2.802, 4.694): -3.795339335966785
(2.802, 4.695): -3.7955368575711086
(2.802, 4.696): -3.7957329554893025
(2.802, 4.697): -3.795927633012481
(2.802, 4.698): -3.7961208934233204
(2.802, 4.699): -3.7963127399998498
(2.802, 4.7): -3.7965031760155736
(2.802, 4.701): -3.7966922047388847
(2.802, 4.702): -3.7968798294308725
(2.802, 4.703): -3.79706605334868
(2.802, 4.704): -3.7972508797459925
(2.802, 4.705): -3.797434311867156
(2.802, 4.706): -3.79761635295519
(2.802, 4.707): -3.797797006246626
(2.802, 4.708): -3.797976274971828
(2.802, 4.709): -3.7981541623565733
(2.802, 4.71): -3.7983306716201715
(2.802, 4.711): -3.7985058059808083
(2.802, 4.712): -3.798679568647042
(2.802, 4.713): -3.7988519628243442
(2.802, 4.714): -3.7990229917121257
(2.802, 4.715): -3.7991926585041655
(2.802, 4.716): -3.7993609663906565
(2.802, 4.717): -3.799527918556843
(2.802, 4.718): -3.7996935181821723
(2.802, 4.719): -3.799857768438453
(2.802, 4.72): -3.8000206724950605
(2.802, 4.721): -3.8001822335159354
(2.802, 4.722): -3.8003424546601283
(2.802, 4.723): -3.8005013390795255
(2.802, 4.724): -3.800658889924677
(2.802, 4.725): -3.800815110335666
(2.802, 4.726): -3.800970003453354
(2.802, 4.727): -3.8011235724108903
(2.802, 4.728): -3.8012758203324304
(2.802, 4.729): -3.801426750341433
(2.802, 4.73): -3.8015763655588684
(2.802, 4.731): -3.8017246690942543
(2.802, 4.732): -3.801871664055841
(2.802, 4.733): -3.8020173535455744
(2.802, 4.734): -3.802161740660811
(2.802, 4.735): -3.802304828493681
(2.802, 4.736): -3.802446620131411
(2.802, 4.737): -3.802587118655309
(2.802, 4.738): -3.8027263271438887
(2.802, 4.739): -3.8028642486680444
(2.802, 4.74): -3.803000886294402
(2.802, 4.741): -3.803136243085308
(2.802, 4.742): -3.803270322098221
(2.802, 4.743): -3.803403126382167
(2.802, 4.744): -3.8035346589888497
(2.802, 4.745): -3.803664922954351
(2.802, 4.746): -3.8037939213194165
(2.802, 4.747): -3.8039216571130723
(2.802, 4.748): -3.8040481333662703
(2.802, 4.749): -3.80417335309621
(2.802, 4.75): -3.8042973193217815
(2.802, 4.751): -3.8044200350536794
(2.802, 4.752): -3.8045415032998355
(2.802, 4.753): -3.804661727062103
(2.802, 4.754): -3.804780709338385
(2.802, 4.755): -3.8048984531175
(2.802, 4.756): -3.8050149613891837
(2.802, 4.757): -3.8051302371340663
(2.802, 4.758): -3.8052442833293596
(2.802, 4.759): -3.8053571029495803
(2.802, 4.76): -3.8054686989585638
(2.802, 4.761): -3.805579074321075
(2.802, 4.762): -3.8056882319936114
(2.802, 4.763): -3.805796174928416
(2.802, 4.764): -3.8059029060723506
(2.802, 4.765): -3.806008428369394
(2.802, 4.766): -3.8061127447579954
(2.802, 4.767): -3.806215858169156
(2.802, 4.768): -3.8063177715324517
(2.802, 4.769): -3.8064184877703595
(2.802, 4.77): -3.8065180098006293
(2.802, 4.771): -3.806616340538311
(2.802, 4.772): -3.806713482889586
(2.802, 4.773): -3.8068094397609444
(2.802, 4.774): -3.806904214049273
(2.802, 4.775): -3.8069978086496485
(2.802, 4.776): -3.807090226451147
(2.802, 4.777): -3.8071814703362277
(2.802, 4.778): -3.807271543186654
(2.802, 4.779): -3.8073604478770555
