Symbol: Au
Lattice_type: FaceCenteredCubic
calculator: <asap.RGL object at 0x0x5513f0>
size: (16, 16, 16)
directions: []
miller: []
Lattice Constant Parameters: ['c']

Lattice Constant Results: 

Lattice constant (c)/Ang: Energy/eV (Volume (Ang^3 per atom))
----------------------------------------------
4.121: -3.8145335094645825 (17.49636589)
4.122: -3.8140256351748505 (17.509105962)
4.123: -3.813509127559979 (17.521852217)
4.124: -3.812984019670686 (17.534604656)
4.125: -3.812450344459744 (17.547363281)
4.126: -3.811908134784854 (17.560128094)
4.127: -3.811357423403389 (17.572899096)
4.128: -3.8107982429792404 (17.585676288)
4.129: -3.8102306260775483 (17.598459672)
4.13: -3.809654605168823 (17.61124925)
4.131: -3.8090702126250084 (17.624045023)
4.132: -3.8084774807252133 (17.636846992)
4.133: -3.807876441651506 (17.649655159)
4.134: -3.8072671274913095 (17.662469526)
4.135: -3.8066495702368 (17.675290094)
4.136: -3.806023801784363 (17.688116864)
4.137: -3.8053898539386815 (17.700949838)
4.138: -3.8047477584078466 (17.713789018)
4.139: -3.804097546806975 (17.726634405)
4.14: -3.8034392506579007 (17.739486)
4.141: -3.8027729013880194 (17.752343805)
4.142: -3.80209853033196 (17.765207822)
4.143: -3.8014161687328674 (17.778078052)
4.144: -3.800725847738704 (17.790954496)
4.145: -3.800027598406796 (17.803837156)
4.146: -3.7993214517024807 (17.816726034)
4.147: -3.798607438498493 (17.829621131)
4.148: -3.7978855895758734 (17.842522448)
4.149: -3.7971559356247147 (17.855429987)
4.15: -3.796418507244735 (17.86834375)
4.151: -3.7956733349425025 (17.881263738)
4.152: -3.7949204491374733 (17.894189952)
4.153: -3.794159880154907 (17.907122394)
4.154: -3.7933916582319402 (17.920061066)
4.155: -3.7926158135173687 (17.933005969)
4.156: -3.7918323760663224 (17.945957104)
4.157: -3.791041375849064 (17.958914473)
4.158: -3.790242842742846 (17.971878078)
4.159: -3.7894368065393786 (17.98484792)
4.16: -3.7886232969394698 (17.997824)
4.161: -3.787802343556425 (18.01080632)
4.162: -3.7869739759139693 (18.023794882)
4.163: -3.7861382234514167 (18.036789687)
4.164: -3.785295115516517 (18.049790736)
4.165: -3.784444681372401 (18.062798031)
4.166: -3.783586950192784 (18.075811574)
4.167: -3.782721951066924 (18.088831366)
4.168: -3.7818497129951503 (18.101857408)
4.169: -3.780970264891941 (18.114889702)
4.17: -3.7800836355868257 (18.12792825)
4.171: -3.779189853821543 (18.140973053)
4.172: -3.7782889482531563 (18.154024112)
4.173: -3.7773809474529196 (18.167081429)
4.174: -3.776465879907731 (18.180145006)
4.175: -3.775543774017481 (18.193214844)
4.176: -3.7746146580989235 (18.206290944)
4.177: -3.773678560383019 (18.219373308)
4.178: -3.772735509018733 (18.232461938)
4.179: -3.77178553206759 (18.245556835)
4.18: -3.7708286575092944 (18.258658)
4.181: -3.7698649132402635 (18.271765435)
4.182: -3.768894327072827 (18.284879142)
4.183: -3.767916926735303 (18.297999122)
4.184: -3.7669327398739787 (18.311125376)
4.185: -3.765941794052225 (18.324257906)
4.186: -3.7649441167521855 (18.337396714)
4.187: -3.7639397353706334 (18.350541801)
4.188: -3.7629286772262285 (18.363693168)
4.189: -3.761910969552896 (18.376850817)
4.19: -3.7608866395035605 (18.39001475)
4.191: -3.759855714150117 (18.403184968)
4.192: -3.758818220483996 (18.416361472)
4.193: -3.757774185414866 (18.429544264)
4.194: -3.7567236357718925 (18.442733346)
4.195: -3.7556665983042654 (18.455928719)
4.196: -3.7546030996786666 (18.469130384)
4.197: -3.753533166485788 (18.482338343)
4.198: -3.7524568252324793 (18.495552598)
4.199: -3.7513741023490255 (18.50877315)
4.2: -3.750285024185262 (18.522)
4.201: -3.7491896170104173 (18.53523315)
4.202: -3.7480879070171818 (18.548472602)
4.203: -3.7469799203186014 (18.561718357)
4.204: -3.745865682947989 (18.574970416)
4.205: -3.7447452208631065 (18.588228781)
4.206: -3.743618559940413 (18.601493454)
4.207: -3.7424857259816475 (18.614764436)
4.208: -3.7413467447094244 (18.628041728)
4.209: -3.7402016417676434 (18.641325332)
4.21: -3.739050442725783 (18.65461525)
4.211: -3.7378931730744336 (18.667911483)
4.212: -3.736729858227071 (18.681214032)
4.213: -3.7355605235228753 (18.694522899)
4.214: -3.7343851942224338 (18.707838086)
4.215: -3.73320389551154 (18.721159594)
4.216: -3.732016652498739 (18.734487424)
4.217: -3.730823490218855 (18.747821578)
4.218: -3.729624433628487 (18.761162058)
4.219: -3.728419507611743 (18.774508865)
4.22: -3.7272087369760722 (18.787862)
4.221: -3.7259921464537857 (18.801221465)
4.222: -3.7247697607035897 (18.814587262)
4.223: -3.7235416043094967 (18.827959392)
4.224: -3.722307701780572 (18.841337856)
4.225: -3.7210680775519043 (18.854722656)
4.226: -3.7198227559857076 (18.868113794)
4.227: -3.7185717613700873 (18.881511271)
4.228: -3.7173151179181536 (18.894915088)
4.229: -3.716052849773284 (18.908325247)
4.23: -3.714784981001247 (18.92174175)
4.231: -3.713511535599543 (18.935164598)
4.232: -3.7122325374895206 (18.948593792)
4.233: -3.7109480105226815 (18.962029334)
4.234: -3.709657978475689 (18.975471226)
4.235: -3.7083624650554414 (18.988919469)
4.236: -3.707061493896611 (19.002374064)
4.237: -3.7057550885605566 (19.015835013)
4.238: -3.7044432725396277 (19.029302318)
4.239: -3.703126069252874 (19.04277598)
4.24: -3.7018035020496303 (19.056256)
4.241: -3.7004755942071212 (19.06974238)
4.242: -3.699142368934166 (19.083235122)
4.243: -3.6978038493667214 (19.096734227)
4.244: -3.69646005857106 (19.110239696)
4.245: -3.695111019545456 (19.123751531)
4.246: -3.69375675521443 (19.137269734)
4.247: -3.692397288436532 (19.150794306)
4.248: -3.6910326419998327 (19.164325248)
4.249: -3.689662838620765 (19.177862562)
4.25: -3.688287900950321 (19.19140625)
4.251: -3.686907851568227 (19.204956313)
4.252: -3.6855227129854047 (19.218512752)
4.253: -3.6841325076457 (19.232075569)
4.254: -3.6827372579232693 (19.245644766)
4.255: -3.6813369861260656 (19.259220344)
4.256: -3.6799317144905515 (19.272802304)
4.257: -3.6785214651895926 (19.286390648)
4.258: -3.677106260325278 (19.299985378)
4.259: -3.6756861219334196 (19.313586495)
4.26: -3.6742610719843127 (19.327194)
4.261: -3.6728311323772784 (19.340807895)
4.262: -3.671396324949361 (19.354428182)
4.263: -3.6699566714670295 (19.368054862)
4.264: -3.6685121936334264 (19.381687936)
4.265: -3.6670629130826846 (19.395327406)
4.266: -3.6656088513859513 (19.408973274)
4.267: -3.6641500300447585 (19.422625541)
4.268: -3.662686470497672 (19.436284208)
4.269: -3.6612181941168656 (19.449949277)
4.27: -3.6597452222100073 (19.46362075)
4.271: -3.658267576016911 (19.477298628)
4.272: -3.6567852767162154 (19.490982912)
4.273: -3.655298345418358 (19.504673604)
4.274: -3.653806803170896 (19.518370706)
4.275: -3.6523106709559596 (19.532074219)
4.276: -3.6508099696933742 (19.545784144)
4.277: -3.649304720236621 (19.559500483)
4.278: -3.6477949433760504 (19.573223238)
4.279: -3.6462806598391526 (19.58695241)
4.28: -3.644761890287591 (19.600688)
4.281: -3.6432386553224214 (19.61443001)
4.282: -3.641710975479744 (19.628178442)
4.283: -3.640178871232006 (19.641933297)
4.284: -3.6386423629915545 (19.655694576)
4.285: -3.6371014711044354 (19.669462281)
4.286: -3.6355562158574153 (19.683236414)
4.287: -3.6340066174730445 (19.697016976)
4.288: -3.6324526961125247 (19.710803968)
4.289: -3.6308944718743774 (19.724597392)
4.29: -3.62933196479524 (19.73839725)
4.291: -3.6277651948508574 (19.752203543)
4.292: -3.6261941819553236 (19.766016272)
4.293: -3.6246189459611275 (19.779835439)
4.294: -3.6230395066592056 (19.793661046)
4.295: -3.6214558837804556 (19.807493094)
4.296: -3.6198680969951704 (19.821331584)
4.297: -3.6182761659111096 (19.835176518)
4.298: -3.616680110077638 (19.849027898)
4.299: -3.6150799489837255 (19.862885725)
4.3: -3.613475702055564 (19.87675)
4.301: -3.6118673886631854 (19.890620725)
4.302: -3.610255028114277 (19.904497902)
4.303: -3.608638639657852 (19.918381532)
4.304: -3.607018242482714 (19.932271616)
4.305: -3.6053938557193312 (19.946168156)
4.306: -3.6037654984379 (19.960071154)
4.307: -3.602133189651704 (19.973980611)
4.308: -3.600496948312766 (19.987896528)
4.309: -3.5988567933158966 (20.001818907)
4.31: -3.597212743496536 (20.01574775)
4.311: -3.5955648176333277 (20.029683058)
4.312: -3.5939130344454804 (20.043624832)
4.313: -3.5922574125947153 (20.057573074)
4.314: -3.5905979706841546 (20.071527786)
4.315: -3.588934727260591 (20.085488969)
4.316: -3.5872677008120606 (20.099456624)
4.317: -3.585596909770206 (20.113430753)
4.318: -3.583922372508847 (20.127411358)
4.319: -3.5822441073450997 (20.14139844)
4.32: -3.580562132538524 (20.155392)
4.321: -3.578876466293853 (20.16939204)
4.322: -3.5771871267569337 (20.183398562)
4.323: -3.575494132017896 (20.197411567)
4.324: -3.573797500112326 (20.211431056)
4.325: -3.5720972490179546 (20.225457031)
4.326: -3.5703933966561867 (20.239489494)
4.327: -3.568685960894552 (20.253528446)
4.328: -3.566974959543688 (20.267573888)
4.329: -3.565260410359352 (20.281625822)
4.33: -3.563542331040887 (20.29568425)
4.331: -3.5618207392331245 (20.309749173)
4.332: -3.5600956525272145 (20.323820592)
4.333: -3.5583670884583976 (20.337898509)
4.334: -3.556635064505726 (20.351982926)
4.335: -3.5548995980957656 (20.366073844)
4.336: -3.5531607066005932 (20.380171264)
4.337: -3.551418407337918 (20.394275188)
4.338: -3.549672717569194 (20.408385618)
4.339: -3.5479236545056922 (20.422502555)
4.34: -3.5461712353025048 (20.436626)
4.341: -3.5444154770608005 (20.450755955)
4.342: -3.5426563968298397 (20.464892422)
4.343: -3.5408940116035756 (20.479035402)
4.344: -3.539128338325585 (20.493184896)
4.345: -3.5373593938840178 (20.507340906)
4.346: -3.535587195115605 (20.521503434)
4.347: -3.5338117588020936 (20.535672481)
4.348: -3.5320331016756703 (20.549848048)
4.349: -3.5302512404142474 (20.564030137)
4.35: -3.5284661916443225 (20.57821875)
4.351: -3.5266779719385033 (20.592413888)
4.352: -3.5248865978192123 (20.606615552)
4.353: -3.5230920857571366 (20.620823744)
4.354: -3.521294452169938 (20.635038466)
4.355: -3.5194937134241924 (20.649259719)
4.356: -3.5176898858357655 (20.663487504)
4.357: -3.515882985668602 (20.677721823)
4.358: -3.514073029135163 (20.691962678)
4.359: -3.5122600323980215 (20.70621007)
4.36: -3.510444011568226 (20.720464)
4.361: -3.508624982705414 (20.73472447)
4.362: -3.50680296181964 (20.748991482)
4.363: -3.5049779648707116 (20.763265037)
4.364: -3.5031500077675455 (20.777545136)
4.365: -3.5013191063693663 (20.791831781)
4.366: -3.499485276484359 (20.806124974)
4.367: -3.497648533872049 (20.820424716)
4.368: -3.4958088942421193 (20.834731008)
4.369: -3.4939663732542927 (20.849043852)
4.37: -3.492120986518386 (20.86336325)
4.371: -3.490272749595643 (20.877689203)
4.372: -3.488421677999084 (20.892021712)
4.373: -3.4865677871898066 (20.906360779)
4.374: -3.4847110925833795 (20.920706406)
4.375: -3.48285160954389 (20.935058594)
4.376: -3.480989353387912 (20.949417344)
4.377: -3.4791243393847298 (20.963782658)
4.378: -3.4772565827533723 (20.978154538)
4.379: -3.4753860986653353 (20.992532985)
4.38: -3.473512902244292 (21.006918)
4.381: -3.4716370085657635 (21.021309585)
4.382: -3.4697584326572173 (21.035707742)
4.383: -3.4678771894996023 (21.050112472)
4.384: -3.46599329402476 (21.064523776)
4.385: -3.464106761117469 (21.078941656)
4.386: -3.4622176056165164 (21.093366114)
4.387: -3.4603258423125536 (21.107797151)
4.388: -3.458431485949008 (21.122234768)
4.389: -3.4565345512223407 (21.136678967)
4.39: -3.4546350527834893 (21.15112975)
4.391: -3.4527330052352587 (21.165587118)
4.392: -3.4508284231356416 (21.180051072)
4.393: -3.4489213209943657 (21.194521614)
4.394: -3.4470117132755824 (21.208998746)
4.395: -3.445099614399111 (21.223482469)
4.396: -3.443185038736165 (21.237972784)
4.397: -3.4412680006139102 (21.252469693)
4.398: -3.439348514313274 (21.266973198)
4.399: -3.4374265940691213 (21.2814833)
4.4: -3.435502254071249 (21.296)
4.401: -3.433575508464756 (21.3105233)
4.402: -3.4316463713481244 (21.325053202)
4.403: -3.4297148567767577 (21.339589707)
4.404: -3.4277809787598827 (21.354132816)
4.405: -3.425844751260734 (21.368682531)
4.406: -3.423906188200438 (21.383238854)
4.407: -3.4219653034542796 (21.397801786)
4.408: -3.420022110852691 (21.412371328)
