Symbol: Au
Lattice_type: FaceCenteredCubic
calculator: <asap.RGL object at 0x0x54ae60>
size: (16, 16, 16)
directions: []
miller: []
Lattice Constant Parameters: ['c']

Lattice Constant Results: 

Lattice constant (c)/Ang: Energy/eV (Volume (Ang^3 per atom))
----------------------------------------------
4.162: -3.78697397591397 (18.023794882)
4.163: -3.786138223451417 (18.036789687)
4.164: -3.7852951155165164 (18.049790736)
4.165: -3.7844446813723995 (18.062798031)
4.166: -3.7835869501927837 (18.075811574)
4.167: -3.7827219510669234 (18.088831366)
4.168: -3.781849712995149 (18.101857408)
4.169: -3.7809702648919403 (18.114889702)
4.17: -3.7800836355868257 (18.12792825)
4.171: -3.779189853821543 (18.140973053)
4.172: -3.7782889482531563 (18.154024112)
4.173: -3.7773809474529196 (18.167081429)
4.174: -3.7764658799077306 (18.180145006)
4.175: -3.7755437740174806 (18.193214844)
4.176: -3.7746146580989235 (18.206290944)
4.177: -3.7736785603830194 (18.219373308)
4.178: -3.7727355090187333 (18.232461938)
4.179: -3.7717855320675895 (18.245556835)
4.18: -3.7708286575092944 (18.258658)
4.181: -3.769864913240264 (18.271765435)
4.182: -3.7688943270728266 (18.284879142)
4.183: -3.767916926735303 (18.297999122)
4.184: -3.766932739873978 (18.311125376)
4.185: -3.765941794052225 (18.324257906)
4.186: -3.7649441167521855 (18.337396714)
4.187: -3.7639397353706334 (18.350541801)
4.188: -3.7629286772262285 (18.363693168)
4.189: -3.7619109695528956 (18.376850817)
4.19: -3.7608866395035596 (18.39001475)
4.191: -3.759855714150119 (18.403184968)
4.192: -3.758818220483997 (18.416361472)
4.193: -3.7577741854148665 (18.429544264)
4.194: -3.756723635771893 (18.442733346)
4.195: -3.7556665983042654 (18.455928719)
4.196: -3.754603099678667 (18.469130384)
4.197: -3.753533166485787 (18.482338343)
4.198: -3.7524568252324797 (18.495552598)
4.199: -3.751374102349026 (18.50877315)
4.2: -3.750285024185262 (18.522)
4.201: -3.7491896170104173 (18.53523315)
4.202: -3.748087907017182 (18.548472602)
4.203: -3.7469799203186005 (18.561718357)
4.204: -3.745865682947989 (18.574970416)
4.205: -3.744745220863107 (18.588228781)
4.206: -3.7436185599404133 (18.601493454)
4.207: -3.7424857259816484 (18.614764436)
4.208: -3.7413467447094244 (18.628041728)
4.209: -3.740201641767644 (18.641325332)
4.21: -3.739050442725783 (18.65461525)
4.211: -3.737893173074433 (18.667911483)
4.212: -3.7367298582270716 (18.681214032)
4.213: -3.735560523522875 (18.694522899)
4.214: -3.7343851942224338 (18.707838086)
4.215: -3.7332038955115405 (18.721159594)
