Symbol: Au
Lattice_type: HexagonalClosedPacked
calculator: <asap.RGL object at 0x0x592160>
size: (28, 28, 28)
directions: []
miller: []
Lattice Constant Parameters: ['a', 'c']

Lattice Constant Results: 

Lattice constant (a,c)/Ang: Energy/eV
----------------------------------------------
(2.5, 4.55): -2.190665857740335
(2.5, 4.56): -2.207860457548558
(2.5, 4.57): -2.2246845743757118
(2.5, 4.58): -2.2411448858001655
(2.5, 4.59): -2.2572479672126056
(2.5, 4.6): -2.2730002930508757
(2.5, 4.61): -2.288408238025965
(2.5, 4.62): -2.3034780783443476
(2.5, 4.63): -2.318215992913163
(2.5, 4.64): -2.3326280645485395
(2.5, 4.65): -2.3467202811577152
(2.5, 4.66): -2.360498536930221
(2.5, 4.67): -2.3739686335102155
(2.5, 4.68): -2.387136281159817
(2.5, 4.69): -2.400007099918137
(2.5, 4.7): -2.4125866207457567
(2.5, 4.71): -2.4248802866613386
(2.5, 4.72): -2.436893453878222
(2.5, 4.73): -2.4486313929129744
(2.5, 4.74): -2.460099289706703
(2.5, 4.75): -2.471302246716311
(2.5, 4.76): -2.4822452840154137
(2.5, 4.77): -2.492933340369615
(2.5, 4.78): -2.5033712743134737
(2.5, 4.79): -2.5135638652173458
(2.5, 4.8): -2.523515814336644
(2.5, 4.81): -2.533231745858798
(2.5, 4.82): -2.542716207942299
(2.5, 4.83): -2.5519736737405623
(2.5, 4.84): -2.5610085424204123
(2.5, 4.85): -2.5698251401708028
(2.5, 4.86): -2.5784277211997613
(2.5, 4.87): -2.5868204687239
(2.5, 4.88): -2.5950074959499543
(2.5, 4.89): -2.6029928470442116
(2.5, 4.9): -2.610780498093144
(2.5, 4.91): -2.6183743580588916
(2.5, 4.92): -2.625778269716804
(2.5, 4.93): -2.632996010589646
(2.5, 4.94): -2.6400312938744577
(2.5, 4.95): -2.646887769354306
(2.5, 4.96): -2.653569024304404
(2.5, 4.97): -2.6600785843903902
(2.5, 4.98): -2.666419914548846
(2.5, 4.99): -2.6725964198704473
(2.5, 5.0): -2.6786114464674933
(2.5, 5.1): -2.7305760490052657
(2.5, 5.2): -2.769667481169723
(2.5, 5.3): -2.798384763354794
(2.5, 5.4): -2.8188040406494106
(2.5, 5.5): -2.832641539033627
(2.5, 5.6): -2.841308746869624
(2.5, 5.7): -2.845960433697697
(2.5, 5.8): -2.8475361532289227
(2.5, 5.9): -2.846795887377081
(2.5, 6.0): -2.8443504774741526
