Symbol: Au
Lattice_type: HexagonalClosedPacked
calculator: vasp
size: (1, 1, 1)
directions: []
miller: []
Lattice Constant Parameters: ['a', 'c']

Lattice Constant Results: 

Lattice constant (a,c)/Ang: Energy/eV
----------------------------------------------
(2.801, 4.736): -3.12132003
(2.801, 4.737): -3.121771985
(2.801, 4.738): -3.122209915
(2.801, 4.739): -3.12266159
(2.801, 4.74): -3.123099405
(2.801, 4.741): -3.123540645
(2.801, 4.742): -3.12399638
(2.801, 4.743): -3.124446725
(2.801, 4.744): -3.124874355
(2.801, 4.745): -3.12529551
(2.801, 4.746): -3.12573587
(2.801, 4.747): -3.126157335
(2.801, 4.748): -3.126571855
(2.801, 4.749): -3.12700111
(2.801, 4.75): -3.12742052
(2.801, 4.751): -3.127837485
(2.801, 4.752): -3.12825224
(2.801, 4.753): -3.128680835
(2.801, 4.754): -3.129096905
(2.801, 4.755): -3.129515295
(2.801, 4.756): -3.129915395
(2.801, 4.757): -3.130322025
(2.801, 4.758): -3.130719595
(2.801, 4.759): -3.13113989
(2.801, 4.76): -3.13153785
(2.801, 4.761): -3.13194709
(2.801, 4.762): -3.132337355
(2.801, 4.763): -3.132720635
(2.801, 4.764): -3.13311059
(2.801, 4.765): -3.133504155
(2.801, 4.766): -3.133895875
(2.801, 4.767): -3.1342886
(2.801, 4.768): -3.134674675
(2.801, 4.769): -3.13508061
(2.801, 4.77): -3.135472015
(2.801, 4.771): -3.13584325
(2.801, 4.772): -3.136216785
(2.801, 4.773): -3.13658919
(2.801, 4.774): -3.13696508
(2.801, 4.775): -3.13733797
(2.801, 4.776): -3.13770093
(2.801, 4.777): -3.13806017
(2.801, 4.778): -3.13843869
(2.801, 4.779): -3.138798435
(2.801, 4.78): -3.139170915
(2.801, 4.781): -3.139540975
(2.801, 4.782): -3.13990258
(2.801, 4.783): -3.140260865
(2.801, 4.784): -3.14061449
(2.801, 4.785): -3.140965025
(2.801, 4.786): -3.14130574
(2.801, 4.787): -3.141640105
(2.801, 4.788): -3.141983985
(2.801, 4.789): -3.142342295
(2.801, 4.79): -3.14268691
(2.801, 4.791): -3.143009845
(2.801, 4.792): -3.143346895
(2.801, 4.793): -3.143673455
(2.801, 4.794): -3.143997445
(2.801, 4.795): -3.14432956
(2.801, 4.796): -3.14465229
(2.801, 4.797): -3.144963205
(2.801, 4.798): -3.145298155
(2.801, 4.799): -3.14561569
(2.801, 4.8): -3.145954695
(2.801, 4.801): -3.14626331
(2.801, 4.802): -3.14657556
(2.801, 4.803): -3.146874195
(2.801, 4.804): -3.147194055
(2.801, 4.805): -3.14749206
(2.801, 4.806): -3.14780635
(2.801, 4.807): -3.148119205
(2.801, 4.808): -3.148403875
(2.801, 4.809): -3.14870941
(2.801, 4.81): -3.149020135
(2.801, 4.811): -3.1493177
(2.801, 4.812): -3.149624105
(2.801, 4.813): -3.149906455
(2.801, 4.814): -3.150194305
(2.801, 4.815): -3.150478675
(2.801, 4.816): -3.150763195
(2.801, 4.817): -3.151045365
(2.801, 4.818): -3.15132522
(2.801, 4.819): -3.1516136
(2.801, 4.82): -3.1518934
(2.801, 4.821): -3.15216668
(2.801, 4.822): -3.152434925
(2.801, 4.823): -3.15272134
(2.801, 4.824): -3.15298749
(2.801, 4.825): -3.153266595
(2.801, 4.826): -3.15353885
(2.801, 4.827): -3.15380053
(2.801, 4.828): -3.15405618
(2.801, 4.829): -3.15431426
(2.801, 4.83): -3.1545707
(2.801, 4.831): -3.15483409
(2.801, 4.832): -3.15510205
(2.801, 4.833): -3.15535413
(2.801, 4.834): -3.155600505
(2.801, 4.835): -3.155857555
(2.801, 4.836): -3.156120865
(2.801, 4.837): -3.15636581
(2.801, 4.838): -3.1566237
(2.801, 4.839): -3.14837924
(2.801, 4.84): -3.14859905
(2.801, 4.841): -3.14882389
(2.801, 4.842): -3.149040035
(2.801, 4.843): -3.14924657
(2.801, 4.844): -3.149490645
(2.801, 4.845): -3.149693265
(2.801, 4.846): -3.14990645
(2.801, 4.847): -3.15012147
(2.801, 4.848): -3.150343095
(2.801, 4.849): -3.15055192
(2.801, 4.85): -3.15078025
(2.801, 4.851): -3.15099628
(2.801, 4.852): -3.151177135
(2.801, 4.853): -3.151380545
(2.801, 4.854): -3.15168177
(2.801, 4.855): -3.151996315
(2.801, 4.856): -3.152306765
(2.801, 4.857): -3.152624685
(2.801, 4.858): -3.15293283
(2.801, 4.859): -3.15323969
(2.801, 4.86): -3.15354911
(2.801, 4.861): -3.153854415
(2.801, 4.862): -3.154149385
(2.801, 4.863): -3.15443916
(2.801, 4.864): -3.15474057
(2.801, 4.865): -3.15503634
(2.801, 4.866): -3.15535653
(2.801, 4.867): -3.155648095
(2.801, 4.868): -3.155953885
(2.801, 4.869): -3.15625903
(2.801, 4.87): -3.156559075
(2.801, 4.871): -3.156856685
(2.801, 4.872): -3.157152565
(2.801, 4.873): -3.157434695
(2.801, 4.874): -3.15773387
(2.801, 4.875): -3.15802592
(2.801, 4.876): -3.158304215
(2.801, 4.877): -3.158590025
(2.801, 4.878): -3.158870215
(2.801, 4.879): -3.159152015
(2.801, 4.88): -3.159431035
(2.801, 4.881): -3.159703725
(2.801, 4.882): -3.159961315
(2.801, 4.883): -3.16023123
(2.801, 4.884): -3.16050574
(2.801, 4.885): -3.160780235
(2.801, 4.886): -3.161045625
(2.801, 4.887): -3.16131571
